comment_id,post_id,user_id,comment_text,created_at
1,142,437,Comment text 1,2025-11-23 21:48:00.782430
2,320,272,Comment text 2,2026-02-25 21:48:00.782488
3,397,468,Comment text 3,2025-11-27 21:48:00.782498
4,18,200,Comment text 4,2026-02-08 21:48:00.782503
5,89,548,Comment text 5,2026-02-24 21:48:00.782508
6,300,98,Comment text 6,2025-12-20 21:48:00.782512
7,484,965,Comment text 7,2026-02-11 21:48:00.782516
8,86,181,Comment text 8,2025-09-26 21:48:00.782520
9,338,172,Comment text 9,2026-01-07 21:48:00.782524
10,223,633,Comment text 10,2025-09-07 21:48:00.782528
11,166,695,Comment text 11,2025-10-07 21:48:00.782531
12,273,295,Comment text 12,2025-10-29 21:48:00.782535
13,453,272,Comment text 13,2026-01-24 21:48:00.782539
14,462,788,Comment text 14,2025-09-26 21:48:00.782542
15,191,556,Comment text 15,2025-09-15 21:48:00.782546
16,104,671,Comment text 16,2025-10-04 21:48:00.782550
17,268,687,Comment text 17,2026-01-19 21:48:00.782553
18,487,208,Comment text 18,2025-09-16 21:48:00.782558
19,379,24,Comment text 19,2025-12-20 21:48:00.782561
20,103,420,Comment text 20,2025-11-26 21:48:00.782565
21,463,237,Comment text 21,2025-10-31 21:48:00.782568
22,173,578,Comment text 22,2025-11-05 21:48:00.782572
23,251,580,Comment text 23,2025-10-01 21:48:00.782576
24,224,902,Comment text 24,2026-01-19 21:48:00.782580
25,1,872,Comment text 25,2026-01-08 21:48:00.782584
26,18,836,Comment text 26,2025-09-19 21:48:00.782588
27,132,803,Comment text 27,2025-11-19 21:48:00.782591
28,135,921,Comment text 28,2025-09-28 21:48:00.782595
29,262,532,Comment text 29,2025-12-16 21:48:00.782599
30,142,530,Comment text 30,2025-11-08 21:48:00.782603
31,340,107,Comment text 31,2026-01-21 21:48:00.782607
32,160,670,Comment text 32,2025-12-01 21:48:00.782612
33,345,685,Comment text 33,2025-10-02 21:48:00.782616
34,49,892,Comment text 34,2025-09-18 21:48:00.782620
35,105,273,Comment text 35,2026-01-08 21:48:00.782624
36,472,875,Comment text 36,2025-12-23 21:48:00.782627
37,279,229,Comment text 37,2026-01-21 21:48:00.782631
38,473,573,Comment text 38,2025-09-29 21:48:00.782635
39,48,895,Comment text 39,2025-11-09 21:48:00.782639
40,431,808,Comment text 40,2026-02-07 21:48:00.782643
41,425,589,Comment text 41,2026-01-12 21:48:00.782647
42,253,323,Comment text 42,2026-01-21 21:48:00.782651
43,221,254,Comment text 43,2026-02-03 21:48:00.782655
44,243,572,Comment text 44,2025-10-08 21:48:00.782659
45,421,201,Comment text 45,2025-11-03 21:48:00.782662
46,41,180,Comment text 46,2025-09-03 21:48:00.782666
47,497,523,Comment text 47,2025-09-17 21:48:00.782670
48,272,96,Comment text 48,2026-02-16 21:48:00.782674
49,212,26,Comment text 49,2026-01-14 21:48:00.782677
50,307,435,Comment text 50,2025-11-30 21:48:00.782681
51,387,168,Comment text 51,2025-09-09 21:48:00.782685
52,486,279,Comment text 52,2025-10-10 21:48:00.782689
53,496,29,Comment text 53,2025-12-20 21:48:00.782692
54,23,638,Comment text 54,2026-02-06 21:48:00.782696
55,112,503,Comment text 55,2025-12-09 21:48:00.782700
56,33,634,Comment text 56,2026-01-28 21:48:00.782704
57,110,941,Comment text 57,2026-01-31 21:48:00.782707
58,130,845,Comment text 58,2026-01-29 21:48:00.782711
59,175,790,Comment text 59,2025-09-06 21:48:00.782715
60,344,821,Comment text 60,2026-02-24 21:48:00.782718
61,476,988,Comment text 61,2026-02-20 21:48:00.782722
62,9,549,Comment text 62,2025-10-30 21:48:00.782725
63,139,431,Comment text 63,2025-10-05 21:48:00.782729
64,204,288,Comment text 64,2025-10-02 21:48:00.782733
65,379,675,Comment text 65,2025-09-15 21:48:00.782736
66,497,177,Comment text 66,2026-02-08 21:48:00.782741
67,85,977,Comment text 67,2025-10-22 21:48:00.782745
68,204,96,Comment text 68,2025-12-20 21:48:00.782748
69,286,90,Comment text 69,2025-10-19 21:48:00.782752
70,485,41,Comment text 70,2025-12-17 21:48:00.782756
71,392,957,Comment text 71,2026-01-28 21:48:00.782760
72,27,797,Comment text 72,2025-12-08 21:48:00.782764
73,240,908,Comment text 73,2026-02-05 21:48:00.782767
74,312,277,Comment text 74,2025-10-07 21:48:00.782771
75,481,38,Comment text 75,2025-11-04 21:48:00.782775
76,348,955,Comment text 76,2026-01-16 21:48:00.782778
77,90,108,Comment text 77,2026-01-16 21:48:00.782782
78,423,725,Comment text 78,2025-09-15 21:48:00.782788
79,439,561,Comment text 79,2025-09-18 21:48:00.782791
80,235,838,Comment text 80,2026-01-01 21:48:00.782795
81,170,470,Comment text 81,2025-12-05 21:48:00.782799
82,478,109,Comment text 82,2025-12-04 21:48:00.782802
83,19,121,Comment text 83,2026-02-10 21:48:00.782806
84,318,647,Comment text 84,2025-09-27 21:48:00.782809
85,440,860,Comment text 85,2025-11-05 21:48:00.782813
86,69,307,Comment text 86,2025-10-22 21:48:00.782817
87,443,517,Comment text 87,2025-12-24 21:48:00.782820
88,227,228,Comment text 88,2025-12-25 21:48:00.782824
89,170,825,Comment text 89,2025-11-17 21:48:00.782827
90,382,366,Comment text 90,2026-02-17 21:48:00.782831
91,85,830,Comment text 91,2025-10-09 21:48:00.782834
92,140,708,Comment text 92,2025-11-22 21:48:00.782838
93,351,94,Comment text 93,2026-01-20 21:48:00.782841
94,187,647,Comment text 94,2025-09-24 21:48:00.782846
95,201,214,Comment text 95,2025-12-04 21:48:00.782850
96,378,273,Comment text 96,2025-11-13 21:48:00.782853
97,306,451,Comment text 97,2026-02-09 21:48:00.782857
98,146,528,Comment text 98,2025-10-17 21:48:00.782860
99,294,945,Comment text 99,2025-10-31 21:48:00.782864
100,436,335,Comment text 100,2026-02-11 21:48:00.782868
101,234,979,Comment text 101,2026-02-15 21:48:00.782872
102,276,786,Comment text 102,2026-01-14 21:48:00.782876
103,123,965,Comment text 103,2026-01-02 21:48:00.782879
104,185,888,Comment text 104,2026-01-19 21:48:00.782883
105,359,686,Comment text 105,2025-11-24 21:48:00.782887
106,310,155,Comment text 106,2026-01-12 21:48:00.782891
107,480,234,Comment text 107,2026-02-20 21:48:00.782894
108,106,544,Comment text 108,2025-11-03 21:48:00.782898
109,384,374,Comment text 109,2025-08-30 21:48:00.782901
110,236,457,Comment text 110,2025-11-27 21:48:00.782906
111,495,177,Comment text 111,2025-09-13 21:48:00.782910
112,181,499,Comment text 112,2025-10-16 21:48:00.782914
113,476,906,Comment text 113,2025-10-21 21:48:00.782954
114,456,536,Comment text 114,2026-01-22 21:48:00.782958
115,456,137,Comment text 115,2025-09-07 21:48:00.782962
116,255,955,Comment text 116,2026-02-03 21:48:00.782966
117,3,539,Comment text 117,2026-01-16 21:48:00.782970
118,372,209,Comment text 118,2025-12-19 21:48:00.782973
119,175,145,Comment text 119,2025-10-06 21:48:00.782977
